feature,importance,importance_type,coefficient,odds_ratio
tmax,3.9657896,abs_coefficient,3.9657896,52.761913
vpd,1.6065995,abs_coefficient,-1.6065995,0.2005685
tmin,1.2368361,abs_coefficient,-1.2368361,0.29030126
sws,1.1888148,abs_coefficient,-1.1888148,0.30458206
dist_airbase_km,1.1764964,abs_coefficient,-1.1764964,0.3083572
kbdi,0.79557806,abs_coefficient,-0.79557806,0.45132023
month_sin,0.656915,abs_coefficient,-0.656915,0.5184483
tsf_years,0.62845993,abs_coefficient,-0.62845993,0.5334127
dist_firestation_km,0.62220824,abs_coefficient,0.62220824,1.8630376
dist_campground_km,0.62207115,abs_coefficient,-0.62207115,0.53683144
month_cos,0.5659108,abs_coefficient,-0.5659108,0.5678427
elev,0.4350494,abs_coefficient,0.4350494,1.5450394
tsf_log,0.40115136,abs_coefficient,0.40115136,1.4935433
aridity_index,0.3911967,abs_coefficient,0.3911967,1.4787493
srad,0.31336915,abs_coefficient,-0.31336915,0.73098004
dist_transmission_km,0.2111393,abs_coefficient,-0.2111393,0.8096612
fveg_shrub,0.20120291,abs_coefficient,0.20120291,1.2228729
pet_anom_b,0.17294301,abs_coefficient,0.17294301,1.1887984
fveg_herb,0.16750197,abs_coefficient,0.16750197,1.1823477
fire_season,0.15927945,abs_coefficient,0.15927945,1.1726656
windward_index,0.14251228,abs_coefficient,0.14251228,1.1531672
cwd_cum6_anom_b,0.116738826,abs_coefficient,0.116738826,1.1238258
vpd_roll6_std,0.10120125,abs_coefficient,0.10120125,1.1064993
ppt,0.08777895,abs_coefficient,0.08777895,1.0917467
housing_density,0.078982495,abs_coefficient,0.078982495,1.0821854
cwd_cum3_anom_b,0.07793064,abs_coefficient,0.07793064,1.0810477
dist_road_km,0.07401776,abs_coefficient,0.07401776,1.076826
log_housing_density,0.062380206,abs_coefficient,-0.062380206,0.9395256
tst_broadcast_years,0.03467632,abs_coefficient,-0.03467632,0.96591794
cwd_anom_b,0.021263652,abs_coefficient,0.021263652,1.0214914
fveg_forest,0.0,abs_coefficient,0.0,1.0
any_treatment_5yr,0.0,abs_coefficient,0.0,1.0
tst_mechanical_years,0.0,abs_coefficient,0.0,1.0
aet_anom_b,0.0,abs_coefficient,0.0,1.0
